dteday,holiday,weekday,workingday,weathersit,temp,hum,windspeed,registered,casual
09/02/2012,0,4,1,1,0.265,0.562083,0.194037,3667,163
27/12/2012,0,4,1,2,0.254167,0.652917,0.350133,1867,247
09/06/2011,0,4,1,2,0.808333,0.568333,0.149883,3352,563
27/02/2012,0,1,1,1,0.366667,0.490833,0.268033,4069,253
27/05/2012,0,0,0,1,0.69,0.697083,0.215171,3308,3283
30/08/2011,0,2,1,1,0.639167,0.548333,0.125008,4429,775
29/11/2012,0,4,1,1,0.28087,0.555652,0.115522,5080,243
05/09/2011,1,1,0,2,0.673333,0.790417,0.212696,2115,1236
22/12/2011,0,4,1,2,0.423333,0.7575,0.047275,2841,227
12/06/2012,0,2,1,2,0.653333,0.833333,0.214546,4495,477
01/05/2011,0,0,0,2,0.451667,0.762083,0.106354,2213,1138
11/03/2011,0,5,1,2,0.316522,0.649565,0.23297,1730,247
09/01/2011,0,0,0,1,0.138333,0.434167,0.36195,768,54
31/12/2011,0,6,0,1,0.41,0.615833,0.220154,1820,665
08/06/2012,0,5,1,1,0.649167,0.467917,0.175383,6248,1488
04/01/2012,0,3,1,2,0.1075,0.414583,0.1847,2273,95
30/06/2011,0,4,1,1,0.696667,0.434167,0.185312,4488,1027
10/05/2012,0,4,1,1,0.505833,0.552083,0.314063,5546,1026
17/09/2011,0,6,0,2,0.491667,0.718333,0.189675,3077,1434
21/05/2012,0,1,1,2,0.598333,0.81125,0.233204,3729,630
01/03/2011,0,2,1,1,0.266667,0.535,0.216425,1714,137
27/06/2012,0,3,1,1,0.6975,0.36,0.271775,6258,1077
22/08/2011,0,1,1,1,0.691667,0.47,0.27675,3925,833
19/02/2012,0,0,0,2,0.28,0.515833,0.253112,2071,618
11/06/2011,0,6,0,1,0.725,0.654583,0.15485,3237,1729
10/03/2012,0,6,0,1,0.2875,0.350417,0.22575,3150,968
04/08/2012,0,6,0,1,0.793333,0.613333,0.257458,4479,2345
07/02/2012,0,2,1,1,0.354167,0.49625,0.147379,4176,199
26/02/2012,0,0,0,1,0.279167,0.41,0.205229,2874,515
17/02/2011,0,4,1,1,0.435833,0.505,0.230104,2216,259
25/12/2011,0,0,0,1,0.274783,0.681304,0.155091,451,303
13/12/2011,0,2,1,1,0.2825,0.59,0.14055,3368,155
22/04/2011,0,5,1,2,0.336667,0.729583,0.219521,1506,177
22/12/2012,0,6,0,1,0.265833,0.44125,0.407346,1544,205
05/07/2012,0,4,1,1,0.8275,0.457917,0.194029,4836,1405
17/10/2011,0,1,1,1,0.534167,0.579583,0.175379,3857,713
24/01/2011,0,1,1,1,0.0973913,0.491739,0.15833,1330,86
11/11/2011,1,5,0,1,0.324167,0.44625,0.314675,2928,440
19/07/2012,0,4,1,1,0.77,0.600417,0.165429,5703,888
28/01/2012,0,6,0,1,0.315833,0.543333,0.210829,3248,775
15/05/2011,0,0,0,2,0.5625,0.867083,0.152979,2971,1582
16/05/2012,0,3,1,1,0.636667,0.697917,0.122512,6433,991
07/07/2012,0,6,0,1,0.861667,0.492083,0.163554,3392,1448
08/05/2012,0,2,1,2,0.581667,0.685833,0.296029,4990,738
25/06/2011,0,6,0,1,0.695,0.483333,0.209571,3420,1782
09/05/2012,0,3,1,2,0.575,0.744167,0.216412,4097,620
31/05/2012,0,4,1,1,0.68,0.492917,0.195279,6238,1100
07/11/2011,0,1,1,1,0.395,0.75875,0.057225,3662,373
