Price,Size,Bedroom,Bathroom,Floor,Car_Parking,Internet,Location,Pet,Event
420,292.5,3,1,2,Yes,No,Area_2,No,Spa
660,208,3,1,1,Yes,No,Area_1,No,Spa
660,194,3,2,2,Yes,No,Area_3,No,Spa
838,240,3,1,1,Yes,No,Area_1,No,Spa
900,360,3,2,1,Yes,No,Area_4,No,Spa
450,199.3,2,2,1,No,No,Area_2,No,Outdoor activities
485,239.25,3,1,2,Yes,No,Area_2,No,Spa
659,225.5,4,2,2,Yes,No,Area_1,No,Spa
440,248,2,1,1,Yes,No,Area_1,No,Outdoor activities
450,175,2,1,1,No,No,Area_1,No,Outdoor activities
617,201.6,2,1,1,Yes,No,Area_1,No,Spa
545,157.5,2,2,1,No,No,Area_1,No,Outdoor activities
665,187.25,3,1,2,Yes,No,Area_1,No,Spa
700,226,3,1,2,Yes,No,Area_1,No,Shows
440,108,3,1,2,No,No,Area_1,No,Spa
570,205,4,1,1,No,No,Area_1,No,Spa
680,458.3,2,1,1,Yes,No,Area_3,No,Spa
950,202,3,1,2,Yes,Yes,Area_2,No,Shows
560,363,3,2,1,Yes,No,Area_4,No,Outdoor activities
560,275,4,1,2,Yes,No,Area_1,No,Spa
600,252,3,1,2,Yes,No,Area_1,No,Spa
670,300,2,1,1,Yes,No,Area_2,No,Spa
700,204.75,3,1,2,No,No,Area_1,No,Shows
510,157.5,3,1,2,Yes,No,Area_1,No,Spa
325,91.8,2,1,1,No,No,Area_1,No,Outdoor activities
350,160.5,3,1,2,Yes,No,Area_1,No,Spa
450,82.5,3,1,2,No,No,Area_1,No,Spa
470,159,4,1,2,Yes,No,Area_1,No,Spa
550,159,2,2,1,Yes,No,Area_3,No,Outdoor activities
639,318,2,1,1,Yes,No,Area_2,No,Spa
555,189,2,1,2,Yes,No,Area_1,No,Spa
600,292.5,2,1,1,Yes,No,Area_3,No,Spa
780,157.5,3,2,1,Yes,No,Area_1,No,Spa
440,154.5,2,1,1,Yes,Yes,Area_1,No,Outdoor activities
470,303,3,1,1,Yes,Yes,Area_1,No,Outdoor activities
580,295,4,2,2,No,Yes,Area_2,No,Spa
1630,371,4,1,2,Yes,No,Area_3,No,Shows
1235,402.5,3,1,1,Yes,No,Area_2,No,Spa
599,412.5,3,1,1,Yes,No,Area_4,No,Spa
570,225,3,2,2,No,No,Area_1,No,Spa
790,165,3,3,2,Yes,No,Area_1,No,Shows
1250,216,3,1,2,Yes,Yes,Area_3,No,Shows
730,150,3,2,2,Yes,No,Area_1,No,Shows
635,187.5,2,1,1,Yes,Yes,Area_1,No,Spa
750,213,4,1,2,Yes,Yes,Area_1,No,Shows
945,200,3,2,2,Yes,Yes,Area_2,No,Shows
1065,215,3,2,2,Yes,No,Area_2,No,Shows
1160,342,5,1,2,Yes,No,Area_2,No,Shows
700,206,2,1,1,Yes,No,Area_2,No,Spa
1170,298,3,3,2,Yes,No,Area_2,No,Shows
1235,228,3,2,2,Yes,No,Area_2,No,Shows
400,132.5,3,1,2,Yes,Yes,Area_2,No,Spa
510,225,4,2,2,Yes,No,Area_3,No,Spa
572.5,225,3,1,2,No,No,Area_1,No,Spa
610,108.75,3,1,2,No,No,Area_1,No,Spa
800,240,5,2,3,No,Yes,Area_1,No,Shows
370,180,2,2,2,Yes,No,Area_2,No,Spa
600,147.65,3,1,2,Yes,Yes,Area_1,No,Spa
620,95.25,5,1,2,No,No,Area_1,No,Spa
1300,300,4,1,2,Yes,No,Area_3,No,Shows
529,156,3,1,2,No,Yes,Area_1,No,Spa
620,203.75,3,1,1,Yes,No,Area_3,No,Spa
480,155,3,1,2,No,No,Area_1,No,Spa
525,181.5,2,1,1,Yes,No,Area_1,No,Outdoor activities
500,151.8,3,1,2,Yes,No,Area_1,No,Spa
699,171,4,2,2,Yes,No,Area_3,No,Shows
447,274.75,3,1,1,Yes,No,Area_1,No,Outdoor activities
575,173,3,2,1,Yes,Yes,Area_2,No,Outdoor activities
520,178.5,3,1,2,Yes,Yes,Area_1,No,Spa
539,126,5,2,1,No,No,Area_2,No,Spa
695,217.5,2,1,1,Yes,No,Area_1,No,Spa
720,177,2,1,1,No,Yes,Area_1,No,Spa
925,198,3,1,1,Yes,Yes,Area_3,No,Spa
520,159,3,1,2,No,Yes,Area_1,No,Spa
1383,300,4,3,2,Yes,Yes,Area_3,No,Shows
580,150,4,1,3,Yes,No,Area_3,No,Shows
785,140.85,4,2,2,No,No,Area_2,No,Shows
708,140,3,2,2,No,No,Area_2,No,Shows
560,190.8,2,1,1,Yes,No,Area_3,No,Outdoor activities
480,159.25,2,1,1,Yes,Yes,Area_3,No,Outdoor activities
680,316.05,3,1,2,Yes,No,Area_2,No,Spa
800,235,4,1,2,Yes,No,Area_2,No,Shows
260,150,2,1,1,Yes,No,Area_3,No,Outdoor activities
